MVNR01018673.1	orpheusFish_scaffold18673
MVNR01006975.1	NW_019036091.1
MVNR01009795.1	orpheusFish_scaffold9795
MVNR01004146.1	NW_019033262.1
MVNR01006457.1	orpheusFish_scaffold6457
MVNR01019808.1	NW_019048924.1
MVNR01024578.1	NW_019053694.1
MVNR01020086.1	NW_019049202.1
MVNR01021080.1	orpheusFish_scaffold21080
MVNR01010325.1	NW_019039441.1
MVNR01000182.1	orpheusFish_scaffold182
MVNR01014819.1	orpheusFish_scaffold14819
MVNR01008312.1	orpheusFish_scaffold8312
MVNR01002139.1	NW_019031255.1
MVNR01001963.1	orpheusFish_scaffold1963
MVNR01016382.1	NW_019045498.1
MVNR01016302.1	orpheusFish_scaffold16302
MVNR01027780.1	orpheusFish_scaffold27780
MVNR01009393.1	NW_019038509.1
MVNR01003370.1	orpheusFish_scaffold3370
MVNR01002009.1	NW_019031125.1
MVNR01025004.1	orpheusFish_scaffold25004
MVNR01011632.1	orpheusFish_scaffold11632
MVNR01013418.1	orpheusFish_scaffold13418
MVNR01027906.1	orpheusFish_scaffold27906
MVNR01029555.1	orpheusFish_scaffold29555
MVNR01007433.1	NW_019036549.1
MVNR01002302.1	NW_019031418.1
MVNR01026911.1	NW_019056027.1
MVNR01026599.1	orpheusFish_scaffold26599
MVNR01012574.1	NW_019041690.1
MVNR01010648.1	orpheusFish_scaffold10648
MVNR01029647.1	orpheusFish_scaffold29647
MVNR01021418.1	orpheusFish_scaffold21418
MVNR01022127.1	orpheusFish_scaffold22127
MVNR01027600.1	orpheusFish_scaffold27600
MVNR01001946.1	NW_019031062.1
MVNR01023237.1	orpheusFish_scaffold23237
MVNR01021826.1	NW_019050942.1
MVNR01029625.1	NW_019058741.1
MVNR01029941.1	NW_019059057.1
MVNR01000100.1	NW_019029216.1
MVNR01029220.1	NW_019058336.1
MVNR01017989.1	NW_019047105.1
MVNR01001677.1	orpheusFish_scaffold1677
MVNR01003070.1	orpheusFish_scaffold3070
MVNR01000345.1	orpheusFish_scaffold345
MVNR01025307.1	NW_019054423.1
MVNR01007899.1	NW_019037015.1
MVNR01013603.1	orpheusFish_scaffold13603
MVNR01007023.1	NW_019036139.1
MVNR01024742.1	NW_019053858.1
MVNR01011282.1	orpheusFish_scaffold11282
MVNR01015057.1	NW_019044173.1
MVNR01023715.1	orpheusFish_scaffold23715
MVNR01008886.1	NW_019038002.1
MVNR01016336.1	orpheusFish_scaffold16336
MVNR01012754.1	orpheusFish_scaffold12754
MVNR01019655.1	orpheusFish_scaffold19655
MVNR01007453.1	NW_019036569.1
MVNR01025314.1	orpheusFish_scaffold25314
MVNR01016378.1	NW_019045494.1
MVNR01023214.1	NW_019052330.1
MVNR01029097.1	orpheusFish_scaffold29097
MVNR01013632.1	NW_019042748.1
MVNR01009007.1	NW_019038123.1
MVNR01029458.1	NW_019058574.1
MVNR01019959.1	NW_019049075.1
MVNR01013034.1	orpheusFish_scaffold13034
MVNR01015213.1	orpheusFish_scaffold15213
MVNR01015390.1	orpheusFish_scaffold15390
MVNR01021273.1	NW_019050389.1
MVNR01028409.1	orpheusFish_scaffold28409
MVNR01025135.1	orpheusFish_scaffold25135
MVNR01010481.1	orpheusFish_scaffold10481
MVNR01025540.1	orpheusFish_scaffold25540
MVNR01010877.1	NW_019039993.1
MVNR01003538.1	NW_019032654.1
MVNR01016277.1	orpheusFish_scaffold16277
MVNR01012164.1	NW_019041280.1
MVNR01008906.1	NW_019038022.1
MVNR01006189.1	orpheusFish_scaffold6189
MVNR01009378.1	orpheusFish_scaffold9378
MVNR01008639.1	orpheusFish_scaffold8639
MVNR01008869.1	NW_019037985.1
MVNR01003820.1	orpheusFish_scaffold3820
MVNR01004987.1	NW_019034103.1
MVNR01024319.1	NW_019053435.1
MVNR01009943.1	orpheusFish_scaffold9943
MVNR01027979.1	orpheusFish_scaffold27979
MVNR01026411.1	NW_019055527.1
MVNR01030236.1	orpheusFish_scaffold30236
MVNR01024948.1	orpheusFish_scaffold24948
MVNR01029320.1	NW_019058436.1
MVNR01023901.1	NW_019053017.1
MVNR01019591.1	NW_019048707.1
MVNR01024882.1	orpheusFish_scaffold24882
MVNR01011804.1	orpheusFish_scaffold11804
MVNR01009466.1	orpheusFish_scaffold9466
MVNR01027499.1	NW_019056615.1
MVNR01003803.1	orpheusFish_scaffold3803
MVNR01005684.1	orpheusFish_scaffold5684
MVNR01018030.1	NW_019047146.1
MVNR01019119.1	orpheusFish_scaffold19119
MVNR01015350.1	orpheusFish_scaffold15350
MVNR01002987.1	NW_019032103.1
MVNR01017795.1	orpheusFish_scaffold17795
MVNR01013935.1	orpheusFish_scaffold13935
MVNR01007689.1	NW_019036805.1
MVNR01013101.1	orpheusFish_scaffold13101
MVNR01028934.1	orpheusFish_scaffold28934
MVNR01010355.1	orpheusFish_scaffold10355
MVNR01016609.1	orpheusFish_scaffold16609
MVNR01024185.1	orpheusFish_scaffold24185
MVNR01013959.1	NW_019043075.1
MVNR01028732.1	NW_019057848.1
MVNR01009898.1	orpheusFish_scaffold9898
MVNR01025579.1	orpheusFish_scaffold25579
MVNR01023996.1	orpheusFish_scaffold23996
MVNR01009989.1	NW_019039105.1
MVNR01028609.1	orpheusFish_scaffold28609
MVNR01012699.1	orpheusFish_scaffold12699
MVNR01027461.1	NW_019056577.1
MVNR01024760.1	orpheusFish_scaffold24760
MVNR01004366.1	orpheusFish_scaffold4366
MVNR01028949.1	NW_019058065.1
MVNR01020373.1	NW_019049489.1
MVNR01001874.1	NW_019030990.1
MVNR01014788.1	orpheusFish_scaffold14788
MVNR01012885.1	NW_019042001.1
MVNR01001086.1	NW_019030202.1
MVNR01008226.1	orpheusFish_scaffold8226
MVNR01009333.1	NW_019038449.1
MVNR01003054.1	orpheusFish_scaffold3054
MVNR01009123.1	NW_019038239.1
MVNR01001424.1	NW_019030540.1
MVNR01002528.1	orpheusFish_scaffold2528
MVNR01010044.1	NW_019039160.1
MVNR01027510.1	NW_019056626.1
MVNR01023829.1	NW_019052945.1
MVNR01023752.1	orpheusFish_scaffold23752
MVNR01028911.1	orpheusFish_scaffold28911
MVNR01012085.1	orpheusFish_scaffold12085
MVNR01017950.1	orpheusFish_scaffold17950
MVNR01029440.1	orpheusFish_scaffold29440
MVNR01016881.1	orpheusFish_scaffold16881
MVNR01010988.1	orpheusFish_scaffold10988
MVNR01012630.1	NW_019041746.1
MVNR01005710.1	orpheusFish_scaffold5710
MVNR01029817.1	NW_019058933.1
MVNR01010414.1	orpheusFish_scaffold10414
MVNR01012474.1	orpheusFish_scaffold12474
MVNR01014245.1	NW_019043361.1
MVNR01001706.1	orpheusFish_scaffold1706
MVNR01021327.1	NW_019050443.1
MVNR01029293.1	NW_019058409.1
MVNR01028758.1	orpheusFish_scaffold28758
MVNR01008853.1	NW_019037969.1
MVNR01008855.1	NW_019037971.1
MVNR01013238.1	NW_019042354.1
MVNR01003044.1	NW_019032160.1
MVNR01016027.1	NW_019045143.1
MVNR01028903.1	orpheusFish_scaffold28903
MVNR01005672.1	orpheusFish_scaffold5672
MVNR01007055.1	orpheusFish_scaffold7055
MVNR01000346.1	NW_019029462.1
MVNR01003392.1	orpheusFish_scaffold3392
MVNR01010369.1	NW_019039485.1
MVNR01025530.1	orpheusFish_scaffold25530
MVNR01018559.1	NW_019047675.1
MVNR01024717.1	NW_019053833.1
MVNR01009185.1	NW_019038301.1
MVNR01025197.1	orpheusFish_scaffold25197
MVNR01025345.1	NW_019054461.1
MVNR01006112.1	orpheusFish_scaffold6112
MVNR01018110.1	orpheusFish_scaffold18110
MVNR01015887.1	orpheusFish_scaffold15887
MVNR01014034.1	orpheusFish_scaffold14034
MVNR01024805.1	NW_019053921.1
MVNR01019673.1	NW_019048789.1
MVNR01018162.1	NW_019047278.1
MVNR01011724.1	orpheusFish_scaffold11724
MVNR01026912.1	NW_019056028.1
MVNR01006499.1	orpheusFish_scaffold6499
MVNR01014925.1	NW_019044041.1
MVNR01029789.1	orpheusFish_scaffold29789
MVNR01015205.1	NW_019044321.1
MVNR01019598.1	orpheusFish_scaffold19598
MVNR01017150.1	orpheusFish_scaffold17150
MVNR01027552.1	NW_019056668.1
MVNR01009898.1	NW_019039014.1
MVNR01020602.1	orpheusFish_scaffold20602
MVNR01013813.1	orpheusFish_scaffold13813
MVNR01000473.1	NW_019029589.1
MVNR01028201.1	NW_019057317.1
MVNR01016614.1	NW_019045730.1
MVNR01005728.1	NW_019034844.1
MVNR01012271.1	orpheusFish_scaffold12271
MVNR01008370.1	orpheusFish_scaffold8370
MVNR01004417.1	orpheusFish_scaffold4417
MVNR01011538.1	orpheusFish_scaffold11538
MVNR01017377.1	NW_019046493.1
MVNR01021151.1	orpheusFish_scaffold21151
MVNR01024028.1	orpheusFish_scaffold24028
MVNR01006810.1	orpheusFish_scaffold6810
MVNR01004791.1	NW_019033907.1
MVNR01015280.1	orpheusFish_scaffold15280
MVNR01027320.1	orpheusFish_scaffold27320
MVNR01026197.1	NW_019055313.1
MVNR01006050.1	NW_019035166.1
MVNR01013139.1	orpheusFish_scaffold13139
MVNR01010097.1	orpheusFish_scaffold10097
MVNR01012575.1	orpheusFish_scaffold12575
MVNR01016907.1	orpheusFish_scaffold16907
MVNR01000538.1	orpheusFish_scaffold538
MVNR01018796.1	NW_019047912.1
MVNR01017224.1	NW_019046340.1
MVNR01003816.1	NW_019032932.1
MVNR01022305.1	NW_019051421.1
MVNR01018762.1	NW_019047878.1
MVNR01022636.1	NW_019051752.1
MVNR01028160.1	NW_019057276.1
MVNR01028592.1	NW_019057708.1
MVNR01010068.1	orpheusFish_scaffold10068
MVNR01024553.1	orpheusFish_scaffold24553
MVNR01005207.1	NW_019034323.1
MVNR01000335.1	NW_019029451.1
MVNR01006393.1	orpheusFish_scaffold6393
MVNR01023350.1	orpheusFish_scaffold23350
MVNR01008101.1	NW_019037217.1
MVNR01012297.1	NW_019041413.1
MVNR01011909.1	orpheusFish_scaffold11909
MVNR01020292.1	NW_019049408.1
MVNR01015453.1	orpheusFish_scaffold15453
MVNR01023426.1	NW_019052542.1
MVNR01016250.1	NW_019045366.1
MVNR01021822.1	NW_019050938.1
MVNR01016443.1	NW_019045559.1
MVNR01027715.1	NW_019056831.1
MVNR01014887.1	orpheusFish_scaffold14887
MVNR01023717.1	NW_019052833.1
MVNR01009767.1	orpheusFish_scaffold9767
MVNR01019876.1	NW_019048992.1
MVNR01002835.1	orpheusFish_scaffold2835
MVNR01000800.1	NW_019029916.1
MVNR01026374.1	orpheusFish_scaffold26374
MVNR01016484.1	NW_019045600.1
MVNR01023182.1	NW_019052298.1
MVNR01018475.1	orpheusFish_scaffold18475
MVNR01025715.1	NW_019054831.1
MVNR01005142.1	orpheusFish_scaffold5142
MVNR01008750.1	NW_019037866.1
MVNR01010123.1	NW_019039239.1
MVNR01015495.1	orpheusFish_scaffold15495
MVNR01027158.1	orpheusFish_scaffold27158
MVNR01013898.1	NW_019043014.1
MVNR01020329.1	orpheusFish_scaffold20329
MVNR01002211.1	orpheusFish_scaffold2211
MVNR01000426.1	orpheusFish_scaffold426
MVNR01028287.1	orpheusFish_scaffold28287
MVNR01015366.1	orpheusFish_scaffold15366
MVNR01006195.1	orpheusFish_scaffold6195
MVNR01014770.1	orpheusFish_scaffold14770
MVNR01025526.1	orpheusFish_scaffold25526
MVNR01018736.1	orpheusFish_scaffold18736
MVNR01025998.1	NW_019055114.1
MVNR01010682.1	orpheusFish_scaffold10682
MVNR01019154.1	NW_019048270.1
MVNR01007842.1	NW_019036958.1
MVNR01016868.1	orpheusFish_scaffold16868
MVNR01002184.1	orpheusFish_scaffold2184
MVNR01012435.1	NW_019041551.1
MVNR01003306.1	NW_019032422.1
MVNR01018865.1	NW_019047981.1
MVNR01030157.1	orpheusFish_scaffold30157
MVNR01028799.1	NW_019057915.1
MVNR01016988.1	NW_019046104.1
MVNR01030282.1	orpheusFish_scaffold30282
MVNR01000428.1	NW_019029544.1
MVNR01018985.1	NW_019048101.1
MVNR01027508.1	NW_019056624.1
MVNR01006690.1	orpheusFish_scaffold6690
MVNR01028271.1	NW_019057387.1
MVNR01020998.1	orpheusFish_scaffold20998
MVNR01005818.1	NW_019034934.1
MVNR01009480.1	orpheusFish_scaffold9480
MVNR01026238.1	NW_019055354.1
MVNR01025220.1	orpheusFish_scaffold25220
MVNR01014267.1	NW_019043383.1
MVNR01007002.1	orpheusFish_scaffold7002
MVNR01006596.1	orpheusFish_scaffold6596
MVNR01020319.1	NW_019049435.1
MVNR01008174.1	orpheusFish_scaffold8174
MVNR01011783.1	NW_019040899.1
MVNR01010971.1	orpheusFish_scaffold10971
MVNR01019356.1	orpheusFish_scaffold19356
MVNR01025160.1	NW_019054276.1
MVNR01005090.1	orpheusFish_scaffold5090
MVNR01000410.1	NW_019029526.1
MVNR01018399.1	NW_019047515.1
MVNR01010485.1	orpheusFish_scaffold10485
MVNR01026286.1	orpheusFish_scaffold26286
MVNR01006696.1	orpheusFish_scaffold6696
MVNR01019276.1	NW_019048392.1
MVNR01030078.1	orpheusFish_scaffold30078
MVNR01024940.1	orpheusFish_scaffold24940
MVNR01027074.1	NW_019056190.1
MVNR01020958.1	orpheusFish_scaffold20958
MVNR01011994.1	orpheusFish_scaffold11994
MVNR01014092.1	orpheusFish_scaffold14092
MVNR01026361.1	orpheusFish_scaffold26361
MVNR01014442.1	orpheusFish_scaffold14442
MVNR01027963.1	orpheusFish_scaffold27963
MVNR01003038.1	NW_019032154.1
MVNR01021552.1	NW_019050668.1
MVNR01009162.1	orpheusFish_scaffold9162
MVNR01005812.1	orpheusFish_scaffold5812
MVNR01015401.1	orpheusFish_scaffold15401
MVNR01018240.1	orpheusFish_scaffold18240
MVNR01000678.1	NW_019029794.1
MVNR01018132.1	NW_019047248.1
MVNR01029908.1	NW_019059024.1
MVNR01011697.1	orpheusFish_scaffold11697
MVNR01025579.1	NW_019054695.1
MVNR01001657.1	NW_019030773.1
MVNR01030216.1	NW_019059332.1
MVNR01004208.1	orpheusFish_scaffold4208
MVNR01011266.1	orpheusFish_scaffold11266
MVNR01013372.1	NW_019042488.1
MVNR01021492.1	NW_019050608.1
MVNR01008177.1	orpheusFish_scaffold8177
MVNR01026447.1	orpheusFish_scaffold26447
MVNR01016615.1	orpheusFish_scaffold16615
MVNR01006274.1	orpheusFish_scaffold6274
MVNR01011149.1	NW_019040265.1
MVNR01005488.1	NW_019034604.1
MVNR01000637.1	orpheusFish_scaffold637
MVNR01023236.1	NW_019052352.1
MVNR01026105.1	NW_019055221.1
MVNR01000700.1	NW_019029816.1
MVNR01014166.1	orpheusFish_scaffold14166
MVNR01012133.1	orpheusFish_scaffold12133
MVNR01023865.1	NW_019052981.1
MVNR01027042.1	orpheusFish_scaffold27042
MVNR01025142.1	NW_019054258.1
MVNR01014624.1	NW_019043740.1
MVNR01025962.1	orpheusFish_scaffold25962
MVNR01000372.1	NW_019029488.1
MVNR01026526.1	orpheusFish_scaffold26526
MVNR01017983.1	orpheusFish_scaffold17983
MVNR01025032.1	orpheusFish_scaffold25032
MVNR01006336.1	NW_019035452.1
MVNR01012192.1	orpheusFish_scaffold12192
MVNR01029861.1	orpheusFish_scaffold29861
MVNR01001760.1	NW_019030876.1
MVNR01022387.1	orpheusFish_scaffold22387
MVNR01008146.1	orpheusFish_scaffold8146
MVNR01022777.1	NW_019051893.1
MVNR01016174.1	NW_019045290.1
MVNR01016144.1	orpheusFish_scaffold16144
MVNR01012128.1	orpheusFish_scaffold12128
MVNR01003363.1	orpheusFish_scaffold3363
MVNR01025261.1	orpheusFish_scaffold25261
MVNR01001814.1	orpheusFish_scaffold1814
MVNR01023381.1	orpheusFish_scaffold23381
MVNR01014979.1	orpheusFish_scaffold14979
MVNR01000010.1	NW_019029126.1
MVNR01006473.1	NW_019035589.1
MVNR01013014.1	NW_019042130.1
MVNR01000720.1	orpheusFish_scaffold720
MVNR01011056.1	orpheusFish_scaffold11056
MVNR01002406.1	NW_019031522.1
MVNR01026741.1	NW_019055857.1
MVNR01012215.1	NW_019041331.1
MVNR01025298.1	NW_019054414.1
MVNR01009180.1	orpheusFish_scaffold9180
MVNR01021738.1	orpheusFish_scaffold21738
MVNR01001487.1	orpheusFish_scaffold1487
MVNR01005452.1	orpheusFish_scaffold5452
MVNR01008930.1	orpheusFish_scaffold8930
MVNR01009718.1	NW_019038834.1
MVNR01023812.1	NW_019052928.1
MVNR01015112.1	NW_019044228.1
MVNR01002095.1	orpheusFish_scaffold2095
MVNR01029982.1	NW_019059098.1
MVNR01014135.1	orpheusFish_scaffold14135
MVNR01014939.1	NW_019044055.1
MVNR01021218.1	orpheusFish_scaffold21218
MVNR01013166.1	orpheusFish_scaffold13166
MVNR01009138.1	orpheusFish_scaffold9138
MVNR01016984.1	NW_019046100.1
MVNR01010857.1	orpheusFish_scaffold10857
MVNR01001072.1	orpheusFish_scaffold1072
MVNR01012556.1	orpheusFish_scaffold12556
MVNR01007340.1	NW_019036456.1
MVNR01014882.1	NW_019043998.1
MVNR01025521.1	NW_019054637.1
MVNR01014470.1	orpheusFish_scaffold14470
MVNR01021473.1	orpheusFish_scaffold21473
MVNR01000715.1	NW_019029831.1
MVNR01000709.1	NW_019029825.1
MVNR01012022.1	orpheusFish_scaffold12022
MVNR01020093.1	NW_019049209.1
MVNR01002701.1	NW_019031817.1
MVNR01000299.1	NW_019029415.1
MVNR01001781.1	NW_019030897.1
MVNR01024863.1	NW_019053979.1
MVNR01026750.1	orpheusFish_scaffold26750
MVNR01029297.1	orpheusFish_scaffold29297
MVNR01002798.1	NW_019031914.1
MVNR01013033.1	orpheusFish_scaffold13033
MVNR01011853.1	orpheusFish_scaffold11853
MVNR01006726.1	NW_019035842.1
MVNR01027103.1	orpheusFish_scaffold27103
MVNR01009074.1	orpheusFish_scaffold9074
MVNR01024632.1	NW_019053748.1
MVNR01015015.1	NW_019044131.1
MVNR01018782.1	orpheusFish_scaffold18782
MVNR01012775.1	orpheusFish_scaffold12775
MVNR01023423.1	NW_019052539.1
MVNR01004640.1	NW_019033756.1
MVNR01010834.1	orpheusFish_scaffold10834
MVNR01007821.1	NW_019036937.1
MVNR01005296.1	orpheusFish_scaffold5296
MVNR01014629.1	orpheusFish_scaffold14629
MVNR01020036.1	orpheusFish_scaffold20036
MVNR01011717.1	NW_019040833.1
MVNR01023318.1	orpheusFish_scaffold23318
MVNR01015378.1	orpheusFish_scaffold15378
MVNR01010529.1	NW_019039645.1
MVNR01027332.1	orpheusFish_scaffold27332
MVNR01004083.1	NW_019033199.1
MVNR01030266.1	orpheusFish_scaffold30266
MVNR01000882.1	orpheusFish_scaffold882
MVNR01014634.1	orpheusFish_scaffold14634
MVNR01002185.1	NW_019031301.1
MVNR01007241.1	NW_019036357.1
MVNR01008700.1	orpheusFish_scaffold8700
MVNR01011912.1	orpheusFish_scaffold11912
MVNR01010583.1	NW_019039699.1
MVNR01010611.1	orpheusFish_scaffold10611
MVNR01011392.1	NW_019040508.1
MVNR01026199.1	NW_019055315.1
MVNR01015961.1	orpheusFish_scaffold15961
MVNR01024717.1	orpheusFish_scaffold24717
MVNR01012124.1	NW_019041240.1
MVNR01001828.1	orpheusFish_scaffold1828
MVNR01028745.1	NW_019057861.1
MVNR01020168.1	NW_019049284.1
MVNR01017386.1	NW_019046502.1
MVNR01030173.1	orpheusFish_scaffold30173
MVNR01018813.1	NW_019047929.1
MVNR01018422.1	orpheusFish_scaffold18422
MVNR01017893.1	NW_019047009.1
MVNR01023520.1	NW_019052636.1
MVNR01026358.1	orpheusFish_scaffold26358
MVNR01021499.1	NW_019050615.1
MVNR01007050.1	NW_019036166.1
MVNR01015659.1	NW_019044775.1
MVNR01022783.1	NW_019051899.1
MVNR01026468.1	orpheusFish_scaffold26468
MVNR01008794.1	NW_019037910.1
MVNR01015018.1	NW_019044134.1
MVNR01029621.1	NW_019058737.1
MVNR01004976.1	orpheusFish_scaffold4976
MVNR01012245.1	orpheusFish_scaffold12245
MVNR01030293.1	NW_019059409.1
MVNR01008133.1	NW_019037249.1
MVNR01019318.1	NW_019048434.1
MVNR01006487.1	NW_019035603.1
MVNR01021225.1	orpheusFish_scaffold21225
MVNR01022617.1	orpheusFish_scaffold22617
MVNR01003591.1	orpheusFish_scaffold3591
MVNR01006838.1	orpheusFish_scaffold6838
MVNR01004169.1	orpheusFish_scaffold4169
MVNR01018863.1	orpheusFish_scaffold18863
MVNR01000009.1	orpheusFish_scaffold9
MVNR01014221.1	NW_019043337.1
MVNR01000192.1	orpheusFish_scaffold192
MVNR01012116.1	NW_019041232.1
MVNR01010586.1	NW_019039702.1
MVNR01024076.1	orpheusFish_scaffold24076
MVNR01017936.1	orpheusFish_scaffold17936
MVNR01005272.1	orpheusFish_scaffold5272
MVNR01020083.1	orpheusFish_scaffold20083
MVNR01001528.1	orpheusFish_scaffold1528
MVNR01012416.1	NW_019041532.1
MVNR01022632.1	orpheusFish_scaffold22632
MVNR01006198.1	NW_019035314.1
MVNR01018787.1	orpheusFish_scaffold18787
MVNR01000087.1	orpheusFish_scaffold87
MVNR01016475.1	orpheusFish_scaffold16475
MVNR01023137.1	NW_019052253.1
MVNR01028397.1	orpheusFish_scaffold28397
MVNR01027852.1	NW_019056968.1
MVNR01005091.1	NW_019034207.1
MVNR01013003.1	NW_019042119.1
MVNR01012545.1	orpheusFish_scaffold12545
MVNR01003931.1	orpheusFish_scaffold3931
MVNR01005067.1	NW_019034183.1
MVNR01013514.1	orpheusFish_scaffold13514
MVNR01022475.1	orpheusFish_scaffold22475
MVNR01000277.1	NW_019029393.1
MVNR01027510.1	orpheusFish_scaffold27510
MVNR01012206.1	NW_019041322.1
MVNR01015439.1	orpheusFish_scaffold15439
MVNR01025706.1	orpheusFish_scaffold25706
MVNR01010697.1	NW_019039813.1
MVNR01001395.1	orpheusFish_scaffold1395
MVNR01001760.1	orpheusFish_scaffold1760
MVNR01017004.1	orpheusFish_scaffold17004
MVNR01020870.1	orpheusFish_scaffold20870
MVNR01008486.1	NW_019037602.1
MVNR01005678.1	orpheusFish_scaffold5678
MVNR01018003.1	orpheusFish_scaffold18003
MVNR01019901.1	orpheusFish_scaffold19901
MVNR01010275.1	NW_019039391.1
MVNR01001800.1	orpheusFish_scaffold1800
MVNR01021765.1	orpheusFish_scaffold21765
MVNR01016904.1	orpheusFish_scaffold16904
MVNR01023798.1	NW_019052914.1
MVNR01017253.1	orpheusFish_scaffold17253
MVNR01011574.1	NW_019040690.1
MVNR01003951.1	orpheusFish_scaffold3951
MVNR01013232.1	orpheusFish_scaffold13232
MVNR01020811.1	NW_019049927.1
MVNR01015243.1	orpheusFish_scaffold15243
MVNR01011417.1	NW_019040533.1
MVNR01030018.1	orpheusFish_scaffold30018
MVNR01023498.1	NW_019052614.1
MVNR01018506.1	NW_019047622.1
MVNR01001951.1	NW_019031067.1
MVNR01000308.1	NW_019029424.1
MVNR01005593.1	orpheusFish_scaffold5593
MVNR01002854.1	orpheusFish_scaffold2854
MVNR01010522.1	NW_019039638.1
MVNR01010030.1	NW_019039146.1
MVNR01027157.1	NW_019056273.1
MVNR01002165.1	orpheusFish_scaffold2165
MVNR01003422.1	NW_019032538.1
MVNR01024447.1	orpheusFish_scaffold24447
MVNR01012768.1	orpheusFish_scaffold12768
MVNR01019257.1	NW_019048373.1
MVNR01011586.1	orpheusFish_scaffold11586
MVNR01008164.1	NW_019037280.1
MVNR01011243.1	orpheusFish_scaffold11243
MVNR01020301.1	NW_019049417.1
MVNR01003514.1	orpheusFish_scaffold3514
MVNR01023392.1	orpheusFish_scaffold23392
MVNR01022672.1	NW_019051788.1
MVNR01029141.1	NW_019058257.1
MVNR01015506.1	orpheusFish_scaffold15506
MVNR01001477.1	NW_019030593.1
MVNR01003946.1	NW_019033062.1
MVNR01017248.1	NW_019046364.1
MVNR01002251.1	orpheusFish_scaffold2251
MVNR01024948.1	NW_019054064.1
MVNR01028110.1	orpheusFish_scaffold28110
MVNR01003157.1	orpheusFish_scaffold3157
MVNR01000764.1	orpheusFish_scaffold764
MVNR01024468.1	orpheusFish_scaffold24468
MVNR01003655.1	NW_019032771.1
MVNR01018017.1	orpheusFish_scaffold18017
MVNR01020851.1	NW_019049967.1
MVNR01002137.1	orpheusFish_scaffold2137
MVNR01002072.1	orpheusFish_scaffold2072
MVNR01007910.1	NW_019037026.1
MVNR01006020.1	NW_019035136.1
MVNR01006773.1	orpheusFish_scaffold6773
MVNR01020078.1	orpheusFish_scaffold20078
MVNR01023854.1	orpheusFish_scaffold23854
MVNR01025188.1	NW_019054304.1
MVNR01019965.1	orpheusFish_scaffold19965
MVNR01020616.1	NW_019049732.1
MVNR01028841.1	orpheusFish_scaffold28841
MVNR01026370.1	NW_019055486.1
MVNR01006840.1	NW_019035956.1
MVNR01022039.1	NW_019051155.1
MVNR01027961.1	NW_019057077.1
MVNR01025100.1	orpheusFish_scaffold25100
MVNR01013128.1	NW_019042244.1
MVNR01009011.1	orpheusFish_scaffold9011
MVNR01029697.1	NW_019058813.1
MVNR01007226.1	orpheusFish_scaffold7226
MVNR01007310.1	NW_019036426.1
MVNR01022302.1	orpheusFish_scaffold22302
MVNR01008222.1	NW_019037338.1
MVNR01018857.1	NW_019047973.1
MVNR01018350.1	orpheusFish_scaffold18350
MVNR01023421.1	NW_019052537.1
MVNR01005849.1	NW_019034965.1
MVNR01016219.1	NW_019045335.1
MVNR01009239.1	orpheusFish_scaffold9239
MVNR01000684.1	orpheusFish_scaffold684
MVNR01027168.1	orpheusFish_scaffold27168
MVNR01026230.1	orpheusFish_scaffold26230
MVNR01028173.1	orpheusFish_scaffold28173
MVNR01002142.1	orpheusFish_scaffold2142
MVNR01005196.1	NW_019034312.1
MVNR01001940.1	orpheusFish_scaffold1940
MVNR01006570.1	NW_019035686.1
MVNR01004899.1	NW_019034015.1
MVNR01002241.1	NW_019031357.1
MVNR01002199.1	NW_019031315.1
MVNR01005773.1	orpheusFish_scaffold5773
MVNR01006309.1	orpheusFish_scaffold6309
MVNR01025724.1	NW_019054840.1
MVNR01007435.1	NW_019036551.1
MVNR01018950.1	NW_019048066.1
MVNR01011641.1	NW_019040757.1
MVNR01016230.1	orpheusFish_scaffold16230
MVNR01014454.1	NW_019043570.1
MVNR01004486.1	NW_019033602.1
MVNR01003343.1	orpheusFish_scaffold3343
MVNR01002328.1	NW_019031444.1
MVNR01021526.1	orpheusFish_scaffold21526
MVNR01002376.1	NW_019031492.1
MVNR01005738.1	NW_019034854.1
MVNR01023036.1	NW_019052152.1
MVNR01002671.1	orpheusFish_scaffold2671
MVNR01013593.1	NW_019042709.1
MVNR01025396.1	orpheusFish_scaffold25396
MVNR01000577.1	NW_019029693.1
MVNR01009676.1	orpheusFish_scaffold9676
MVNR01011049.1	orpheusFish_scaffold11049
MVNR01003078.1	orpheusFish_scaffold3078
MVNR01015329.1	NW_019044445.1
MVNR01002565.1	orpheusFish_scaffold2565
MVNR01009707.1	NW_019038823.1
MVNR01021073.1	NW_019050189.1
MVNR01008904.1	NW_019038020.1
MVNR01012905.1	orpheusFish_scaffold12905
MVNR01027090.1	NW_019056206.1
MVNR01001104.1	NW_019030220.1
MVNR01015086.1	NW_019044202.1
MVNR01009500.1	NW_019038616.1
MVNR01025934.1	orpheusFish_scaffold25934
MVNR01016440.1	orpheusFish_scaffold16440
MVNR01026068.1	NW_019055184.1
MVNR01018430.1	NW_019047546.1
MVNR01010996.1	NW_019040112.1
MVNR01008388.1	NW_019037504.1
MVNR01021993.1	orpheusFish_scaffold21993
MVNR01018431.1	orpheusFish_scaffold18431
MVNR01001738.1	orpheusFish_scaffold1738
MVNR01027983.1	NW_019057099.1
MVNR01025521.1	orpheusFish_scaffold25521
MVNR01030064.1	NW_019059180.1
